Feature,Importance
NDVI_Change,0.36150132868956025
NDWI_Change,0.2536372964983638
NDVI_2023,0.15080649879310368
NDBI_Change,0.09699858338800627
NDWI_2023,0.061674045315525575
NDBI_2023,0.02899753903439678
NDVI_2026,0.011344428221362663
NDWI_2026,0.010147632690745235
NDVI_2024,0.006100167757057865
B4_2026,0.004343147514510676
B2_2026,0.0038311600933193584
NDVI_2025,0.0036099301003804105
B3_2026,0.00206931967644947
NDBI_2026,0.0017011660574956231
B12_2026,0.00126525636488455
B8_2026,0.0010863363378988554
B11_2026,0.000886163466939
